2012/10/19 14:30 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻
3947,17:00～18:00,10/19,8:30

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
3470,17:00～18:00,10/19,8:30

DATE,TIME,当日実績(万kW),予測値（万kW)
2012/10/19,0:00,2619,0
2012/10/19,1:00,2490,0
2012/10/19,2:00,2448,0
2012/10/19,3:00,2441,0
2012/10/19,4:00,2442,0
2012/10/19,5:00,2500,0
2012/10/19,6:00,2632,0
2012/10/19,7:00,2778,0
2012/10/19,8:00,2972,0
2012/10/19,9:00,3178,0
2012/10/19,10:00,3215,0
2012/10/19,11:00,3239,0
2012/10/19,12:00,3061,0
2012/10/19,13:00,3223,0
2012/10/19,14:00,0,0
2012/10/19,15:00,0,0
2012/10/19,16:00,0,0
2012/10/19,17:00,0,0
2012/10/19,18:00,0,0
2012/10/19,19:00,0,0
2012/10/19,20:00,0,0
2012/10/19,21:00,0,0
2012/10/19,22:00,0,0
2012/10/19,23:00,0,0

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻
,,,

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
,,,

メッセージＮｏ,節電お願い文
,
,

DATE,TIME,当日実績（５分間隔値）(万kW)
2012/10/19,9:50,3198
2012/10/19,9:55,3209
2012/10/19,10:00,3226
2012/10/19,10:05,3206
2012/10/19,10:10,3203
2012/10/19,10:15,3199
2012/10/19,10:20,3210
2012/10/19,10:25,3215
2012/10/19,10:30,3214
2012/10/19,10:35,3216
2012/10/19,10:40,3211
2012/10/19,10:45,3218
2012/10/19,10:50,3228
2012/10/19,10:55,3240
2012/10/19,11:00,3237
2012/10/19,11:05,3262
2012/10/19,11:10,3241
2012/10/19,11:15,3245
2012/10/19,11:20,3236
2012/10/19,11:25,3245
2012/10/19,11:30,3236
2012/10/19,11:35,3246
2012/10/19,11:40,3234
2012/10/19,11:45,3239
2012/10/19,11:50,3232
2012/10/19,11:55,3215
2012/10/19,12:00,3152
2012/10/19,12:05,3104
2012/10/19,12:10,3067
2012/10/19,12:15,3064
2012/10/19,12:20,3048
2012/10/19,12:25,3028
2012/10/19,12:30,3024
2012/10/19,12:35,3020
2012/10/19,12:40,3020
2012/10/19,12:45,3036
2012/10/19,12:50,3066
2012/10/19,12:55,3097
2012/10/19,13:00,3132
2012/10/19,13:05,3195
2012/10/19,13:10,3212
2012/10/19,13:15,3231
2012/10/19,13:20,3224
2012/10/19,13:25,3230
2012/10/19,13:30,3240
2012/10/19,13:35,3240
2012/10/19,13:40,3236
2012/10/19,13:45,3233
2012/10/19,13:50,3250
2012/10/19,13:55,3248
2012/10/19,14:00,3247
2012/10/19,14:05,3243
2012/10/19,14:10,3233
2012/10/19,14:15,3238
2012/10/19,14:20,3247
2012/10/19,14:25,3247
2012/10/19,14:30,3256
2012/10/19,14:35,
2012/10/19,14:40,
2012/10/19,14:45,
2012/10/19,14:50,
2012/10/19,14:55,
2012/10/19,15:00,
2012/10/19,15:05,
2012/10/19,15:10,
2012/10/19,15:15,
2012/10/19,15:20,
2012/10/19,15:25,
2012/10/19,15:30,
2012/10/19,15:35,
2012/10/19,15:40,
2012/10/19,15:45,
2012/10/19,15:50,
2012/10/19,15:55,
2012/10/19,16:00,
2012/10/19,16:05,
2012/10/19,16:10,
2012/10/19,16:15,
2012/10/19,16:20,
2012/10/19,16:25,
2012/10/19,16:30,
2012/10/19,16:35,
2012/10/19,16:40,
2012/10/19,16:45,
2012/10/19,16:50,
2012/10/19,16:55,
2012/10/19,17:00,
2012/10/19,17:05,
2012/10/19,17:10,
2012/10/19,17:15,
2012/10/19,17:20,
2012/10/19,17:25,
2012/10/19,17:30,
2012/10/19,17:35,
2012/10/19,17:40,
2012/10/19,17:45,
2012/10/19,17:50,
2012/10/19,17:55,
2012/10/19,18:00,
2012/10/19,18:05,
2012/10/19,18:10,
2012/10/19,18:15,
2012/10/19,18:20,
2012/10/19,18:25,
2012/10/19,18:30,
2012/10/19,18:35,
2012/10/19,18:40,
2012/10/19,18:45,
2012/10/19,18:50,
2012/10/19,18:55,
2012/10/19,19:00,
2012/10/19,19:05,
2012/10/19,19:10,
2012/10/19,19:15,
2012/10/19,19:20,
2012/10/19,19:25,
2012/10/19,19:30,
2012/10/19,19:35,
2012/10/19,19:40,
2012/10/19,19:45,
2012/10/19,19:50,
2012/10/19,19:55,
2012/10/19,20:00,
2012/10/19,20:05,
2012/10/19,20:10,
2012/10/19,20:15,
2012/10/19,20:20,
2012/10/19,20:25,
2012/10/19,20:30,
2012/10/19,20:35,
2012/10/19,20:40,
2012/10/19,20:45,
2012/10/19,20:50,
2012/10/19,20:55,
2012/10/19,21:00,
2012/10/19,21:05,
2012/10/19,21:10,
2012/10/19,21:15,
2012/10/19,21:20,
2012/10/19,21:25,
2012/10/19,21:30,
2012/10/19,21:35,
2012/10/19,21:40,
2012/10/19,21:45,
2012/10/19,21:50,
2012/10/19,21:55,
2012/10/19,22:00,
2012/10/19,22:05,
2012/10/19,22:10,
2012/10/19,22:15,
2012/10/19,22:20,
2012/10/19,22:25,
2012/10/19,22:30,
2012/10/19,22:35,
2012/10/19,22:40,
2012/10/19,22:45,
2012/10/19,22:50,
2012/10/19,22:55,
2012/10/19,23:00,
2012/10/19,23:05,
2012/10/19,23:10,
2012/10/19,23:15,
2012/10/19,23:20,
2012/10/19,23:25,
2012/10/19,23:30,
2012/10/19,23:35,
2012/10/19,23:40,
2012/10/19,23:45,
2012/10/19,23:50,
2012/10/19,23:55,

